,0
0,"('Remove tenderloin from steak. Score meat. Combine remaining ingredients and pour over meat. Let marinate 24 hrs. Preheat grill. Broil or possibly grill. Slice thinly on an angle against the grain.', {'entities': []})"
1,"(""combine all ingredients in slow cooker (6 quarts). bury chicken in vegetables. don't put herbs directly on chicken (because skin is removed later) add enough broth and water to cover most of ingredients. liquid level rises a good amount during cooking, so careful with filling the slow cooker too much. turn slow cooker on low for 6-7 hours or high 3-4 hours. Note: in my newer Crock-Pot this was enough time, but in my parents' older Crock-Pot 7 hours on low was not enough (don't know how long would be good. we left the veggies a little tough). pull out all chicken. skim off fat from top with spoon pull off skin and remove bones from chicken. shred and return to soup."", {'entities': [(56, 63, 'FOOD'), (168, 173, 'FOOD')]})"
2,"('Cook 3 to 4 carrots; cut crosswise in 1-inch pieces. Add butter, brown sugar (packed) and grated lemon rind and juice to taste. Heat slow, stirring occasionally, until nicely glazed, about 15 minutes. Makes 2 to 3 servings.', {'entities': [(12, 19, 'FOOD'), (57, 63, 'FOOD'), (65, 76, 'FOOD'), (97, 107, 'FOOD')]})"
3,"('Mix all dry ingredients in a bowl.  Add crisco and cut in with dough cutter.  Mix wet ingredients adding ice water to make 1 total cup of wet ingredients.  Add wet to dry, starting with 1/2 cup of wet ingredients.  Make dough and chill', {'entities': []})"
4,"('Mix and press in baking pan, approximately 13 x 9-inch. Bake 8 minutes at 400°. Cool.', {'entities': []})"
5,"('In a 1 1/2-quart saucepan stir together sugar and juices and simmer, stirring occasionally, 5 minutes, or until sugar is dissolved and syrup is slightly thickened. Cool syrup. Syrup may be made 3 days ahead and chilled, covered. Makes about 1 1/4 cups.', {'entities': [(40, 45, 'FOOD')]})"
6,"('Cut orange into 1/4-inch-thick rounds; cut rounds into 1/4-inch cubes. Place in heavy medium saucepan; add 3 cups water. Bring to boil. Reduce heat and simmer 10 minutes. Drain, rinse, and drain well. Boil again with 3 cups water; rinse and drain. Return orange cubes to same pan. Add 3/4 cup water, 1/2 cup sugar, and 1 cinnamon stick. Bring to boil, stirring until sugar dissolves. Boil gently until all liquid evaporates, about 30 minutes. Bring brown sugar, rum, vinegar, allspice, 1/4 cup water, and 1 cinnamon stick to boil in saucepan. Mix in cranberries. Cook until thick syrup forms, stirring occasionally, about 10 minutes. Mix in orange; cook 1 minute. Transfer chutney to small bowl; cool. (Can be made 2 days ahead. Cover; chill.)', {'entities': [(114, 119, 'FOOD'), (308, 313, 'FOOD'), (550, 561, 'FOOD')]})"
7,"('The condiments: - Large prawns, fried in batter - Small blue swimming crab, fried in batter - small - medium size prawn, made into crackers - 1 bunch of morning glory, boil until ready - 200 gr bean sprout, blanched - make birds eye chilli sauce The Gravy : - Bring water to a boil, put all ingredients for gravy and continue to cooke for 10 minutes, simmer for another 1 hour or until the tomato is softened or the water has reduced to 2 - 2.5 L - Put the tomato stock back in the pot, add in the dissolved corn starch, mix well and bring back to a boil, the gravy now should thickened. If you prefer the gravy slightly runny use 2 tbsp of corn starch but if you wish thicker use 3 tbsp. - The gravy is now ready to use', {'entities': []})"
8,"('Mix ingredients well. Pour into jar. Keep in refrigerator until ready to use. Makes 1 3/4 pints.', {'entities': []})"
9,"('Mix all ingredients together and chill overnight. Great with fresh vegetables.', {'entities': []})"
